id,,regimen,sex,period,ALBUMIN,ALKPHOSPH,SGPTALT,SGOTAST,TOTBILI,BUN,CALCIUM blood,CREAT blood,GAMMAGT,Glycemia,PHOSPH blood,TOTPROT,DIRBILI,SODIUM Sang,POTASSIUM Sang,CHLORIDE Sang,GLOBULINE,AGRATIO,GRAVITY,GLUCOSE,BILI,KETONE,BLOOD,PH,PROT,UROBILI,PTSEC,APTTSEC,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,ABSNEUT,ABSLYMPH,ABSMONO,ABSEOS,ABSBASO,ABSLUC,NEUT,LYMPH,MONO,EOS,BASO,LUC,CALCIUM,CREAT,UPROT,PHOSPH,SODIUM,POTASSIUM,CHLORIDE,NAKRATIO,CREATCLEARANCE,VOLTOTAL,TERMINALBODYWEIGHT,ADRENAL,HEART,LIVER,TESTIS,BRAIN,KIDNEY,SPLEEN,OVARY
1,1,MON810,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.4,0.085,1.199,8.286,NA,1.989,2.345,0.501,0.122
2,2,MON810,F,1,4.5,73,25,78,0.1,14.7,9.5,0.4,1,107,5.6,6.2,0.01,144,4.2,99,1.7,2.65,1.025,0,0,0,0,7,0.01,0.2,NA,NA,5.52,7.73,14.2,41.3,53.5,18.4,34.4,883,0.83,4.39,0.11,0.09,0,0.09,15.1,79.5,2,1.7,0,1.7,5.4,74.4,22,121.2,53,87,34,0.61,0.24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,MON810,F,2,5.3,45,34,75,0.2,20.8,11.9,0.6,0.001,207,12.8,7.6,0.1,150,8.7,109,2.3,2.3,1.031,0,0,0,0,7,0,0.2,10.9,14.3,7.45,8.38,15.2,44.8,53.5,18.2,33.9,790,0.86,6.18,0.14,0.08,0.05,0.13,11.5,83,1.9,1.1,0.7,1.8,26.1,84.6,19,118.6,69,133,74,0.52,0.15,4,255.2,0.083,0.921,7.276,NA,2.032,2.038,0.472,0.127
3,3,MON810,F,1,4.7,62,37,89,0.1,16.7,10.4,0.4,1,89,7.4,6.8,0.01,145,4.8,97,2.1,2.24,1.041,0,0,0,0,6,30,0.2,NA,NA,10,7.97,15.5,45.2,56.6,19.4,34.3,965,0.61,8.89,0.24,0.12,0.03,0.11,6.1,88.8,2.4,1.2,0.3,1.1,7.6,135.7,44,192.7,25,159,67,0.16,0.42,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,MON810,F,2,5.2,31,55,79,0.2,17.8,11.7,0.5,0.001,157,9.9,7.5,0.001,154,6.1,112,2.3,2.26,1.04,0,0,0,0,6.5,0,0.2,11.1,17.3,6.2,7.72,15,44.6,57.8,19.4,33.6,1070,0.75,4.95,0.2,0.09,0.06,0.15,12.2,79.8,3.2,1.4,1,2.5,46.6,106.6,22,198.3,58,201.5,100,0.29,0.29,5.5,280.9,0.089,1.115,8.244,NA,2.174,2.162,0.555,0.109
4,4,MON810,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.2,0.079,1.097,8.899,NA,2.023,2.459,0.533,0.113
5,5,MON810,F,1,4.9,77,40,122,0.2,18,10,0.4,0,108,6.1,6.5,0.1,144,4.5,100,1.6,3.06,1.06,0,0,0,0,6,30,0.2,NA,NA,8.76,7.67,14.5,42.2,55,19,34.5,1132,0.74,7.65,0.13,0.12,0.02,0.08,8.5,87.4,1.5,1.4,0.3,0.9,11,144.1,43,280.9,97,219,94,0.44,0.33,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,MON810,F,2,5.8,47,33,74,0.2,20.3,12.5,0.5,0.001,180,11.6,7.9,0.1,151,7.2,110,2.1,2.76,1.066,0,0,0.01,0,6.5,100,1,10.9,17.1,6.62,7.88,14.9,44.7,56.7,18.9,33.4,990,0.55,5.72,0.16,0.06,0.05,0.08,8.3,86.5,2.4,0.8,0.7,1.2,20.8,205.1,55,287.5,93,270,57,0.34,0.12,1,238.3,0.078,0.897,7.481,NA,2.053,2.06,0.516,0.154
6,6,MON810,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.3,0.072,1.204,9.992,NA,2.01,2.509,0.619,0.175
7,7,MON810,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313.6,0.065,1.145,9.463,NA,2.026,2.314,0.761,0.112
